code,name,budget,description,link,committee,type
a123,Green Finance Authority,44794000,,,,minor
a124,Health Information Exchange Policy Board,0,,,,minor
a125,Health Literacy Council,0,,,,minor
a126,Healthy Youth and Schools Commission,0,,,,minor
a127,Higher Education Licensure Commission,0,,,,minor
a128,Highway Transportation Fund,27537000,,,,minor
a129,Historic Preservation Review Board,0,,,,minor
a130,Homeland Security Commission,0,,,,minor
a131,Housing and Community Development Reform Commission,0,,,,minor
a132,Housing Production Trust Fund,498812000,,,,minor
a133,Housing Production Trust Fund Subsidy,409000000,,,,minor
a134,Innovation and Technology Inclusion Council,0,,,,minor
a135,Interagency Coordinating Council,0,,,,minor
a136,Interagency Council on Homelessness,0,,,,minor
a137,Interfaith Council,0,,,,minor
a138,Interstate Medical Licensure Compact Commission,0,,,,minor
a139,Juvenile Abscondence Review Committee,0,,,,minor
a140,Juvenile Justice Advisory Group,0,,,,minor
a141,Kennedy Street NW Economic Development and Small Business Revitalization Advisory Committee,0,,,,minor
a142,Labor/Management Partnership Council,0,,,,minor
a143,Law Revision Commission,0,,,,minor
a144,Leadership Council for a Cleaner Anacostia River,0,,,,minor
a145,Major Crash Review Task Force,0,,,,minor
a146,Maternal Mortality Review Committee,0,,,,minor
a147,Mayor’s Office of Legal Counsel,1754855,,,,minor
a148,Mental Health Planning Council,0,,,,minor
a149,Metropolitan Washington Airports Authority,0,,,,minor
a150,Metropolitan Washington Council of Governments,0,,,,minor
a151,Metropolitan Washington Regional Ryan White Planning Council,0,,,,minor
a152,Motor Vehicle Theft Prevention Commission,0,,,,minor
a153,Multimodal Accessibility Advisory Council,0,,,,minor
a154,Multistate Tax Commission,0,,,,minor
a155,National Capital Planning Commission,0,,,,minor
a156,New Columbia Statehood Commission,0,,,,minor
a157,Non-Public Tuition,59070000,,,,minor
a158,Not-For-Profit Hospital Corporation,155000000,,,,minor
a159,Not-For-Profit Hospital Corporation Subsidy,15000000,,,,minor
a160,Occupational Safety and Health Board,0,,,,minor
a161,Office of Administrative Hearings (including the Advisory Committee to the Office of Administrative Hearings and the Commission on Selection and Tenure of Administrative Law Judges),11911337,,,,minor
a162,Office of Community Relations and Services,2213919,,,,minor
a163,Office of Disability Rights,2079929,,,,minor
a164,Office of Employee Appeals,2310000,,,,minor
a165,Office of Labor Relations and Collective Bargaining,3164000,,,,minor
a166,"Office of Lesbian, Gay, Bisexual, Transgender, and Questioning Affairs",696158,,,,minor
a167,Office of Nightlife and Culture,0,,,,minor
a168,Office of Out of School Time Grants and Youth Outcomes,0,,,,minor
a169,Office of Partnerships and Grants Services,518335,,,,minor
a170,Office of People’s Counsel,12280000,,,,minor
a171,Office of Police Complaints,2964584,,,,minor
a172,Office of Religious Affairs,157955,,,,minor
a173,Office of the Chief Medical Examiner,15284000,,,,minor
a174,Office of the Inspector General,24588664,,,,minor
a175,Office of the Ombudsman for Public Education,0,,,,minor
a176,Office of the Ombudsperson for Children,935000,,,,minor
a177,Office of the Secretary of the District of Columbia,5898000,,,,minor
a178,Office of the Senior Advisor,4546309,,,,minor
a179,Office of the Statehood Delegation,0,,,,minor
a180,Office of the Student Advocate,0,,,,minor
a181,Office of Veterans Affairs,1160797,,,,minor
a182,Office of Victim Services and Justice Grants,105729000,,,,minor
a183,Office on African Affairs,0,,,,minor
a184,Office on African American Affairs,0,,,,minor
a185,Office on Asian and Pacific Islanders Affairs,1502328,,,,minor
a186,Office on Deaf and Hard of Hearing,818747,,,,minor
a187,Office on Latino Affairs,6433626,,,,minor
a188,Office on Women’s Policy and Initiatives,493135,,,,minor
a189,Office-to-Affordable-Housing Task Force,0,,,,minor
a190,OSSE-DOT,122102000,,,,minor
a191,Other Post-Employment Benefits Fund Advisory Committee,0,,,,minor
a192,Our Schools Leadership Committee,0,,,,minor
a193,Pedestrian Advisory Council,0,,,,minor
a194,Police Complaints Board,0,,,,minor
a195,Police Officer Standards and Training Board,0,,,,minor
a196,Public Access Corporation,0,,,,minor
a197,Public Charter School Credit Enhancement Fund Committee,0,,,,minor
a198,Public Employee Relations Board,1363000,,,,minor
a199,Public Service Commission,18842775,,,,minor
a200,Public Space Committee,0,,,,minor
a201,Real Property Tax Appeals Commission,2033822,,,,minor
a202,Recreational Trails Advisory Committee,0,,,,minor
a203,Rental Housing Commission,1356912,,,,minor
a204,Science Advisory Board,0,,,,minor
a205,Serve DC,0,,,,minor
a206,Settlements and Judgements,28024700,,,,minor
a207,Soil and Water Conservation District,0,,,,minor
a208,St. Elizabeth’s East Redevelopment Initiative Advisory Board,0,,,,minor
a209,State Board of Education,2717000,,,,minor
a210,State Rehabilitation Council,0,,,,minor
a211,Statehood Initiatives Agency,248000,,,,minor
a212,Statewide Health Coordinating Council,0,,,,minor
a213,Statewide Independent Living Council,0,,,,minor
a214,Streetcar Financing and Governance Task Force,0,,,,minor
a215,Sustainable Energy Utility Advisory Board,0,,,,minor
a216,Tobacco Settlement Financing Corporation,0,,,,minor
a217,Transit Rider Advisory Council,0,,,,minor
a218,Unemployment Compensation Fund,5480390,,,,minor
a219,Unemployment Insurance Trust Fund,176682000,,,,minor
a220,Uniform Law Commission,60250,,,,minor
a221,Universal Paid Leave,115360000,,,,minor
a222,Urban Forestry Advisory Council,0,,,,minor
a223,Violence Fatality Review Committee,0,,,,minor
a224,Walter Reed Army Medical Center Site Reuse Advisory Committee,0,,,,minor
a225,Washington Aqueduct,138227000,,,,minor
a226,Washington Metrorail Safety Commission,0,,,,minor
a227,Workforce Investment Council,22296083,,,,minor
a228,Workforce Investments,64175904,,,,minor
a229,Youth Apprenticeship Advisory Committee,0,,,,minor
a230,Zoning Commission,0,,,,minor
